,GOOGL,TSLA
Date,,
2020-01-13,71.7414321899414,34.990665435791016
2020-01-14,71.2711410522461,35.861331939697266
2020-01-15,71.70008087158203,34.56666564941406
2020-01-16,72.24610137939453,34.232666015625
2020-01-17,73.70879364013672,34.03333282470703
2020-01-21,73.84481811523438,36.47999954223633
2020-01-22,73.92550659179688,37.97066879272461
2020-01-23,73.96636199951172,38.14666748046875
2020-01-24,73.04370880126953,37.654666900634766
2020-01-27,71.32793426513672,37.201332092285156
2020-01-28,72.2630386352539,37.793331146240234
2020-01-29,72.57191467285156,38.732666015625
2020-01-30,72.44986724853516,42.72066879272461
2020-01-31,71.38024139404297,43.371334075927734
2020-02-03,73.86224365234375,52.0
2020-02-04,72.00946044921875,59.137332916259766
2020-02-05,72.04134368896484,48.97999954223633
2020-02-06,73.53194427490234,49.930667877197266
2020-02-07,73.68836975097656,49.871334075927734
2020-02-10,75.1605453491211,51.41866683959961
2020-02-11,75.23027801513672,51.62533187866211
2020-02-12,75.65724182128906,51.15266799926758
2020-02-13,75.39618682861328,53.599998474121094
2020-02-14,75.66221618652344,53.33533477783203
2020-02-18,75.69759368896484,57.22666549682617
2020-02-19,75.96810913085938,61.16133117675781
2020-02-20,75.57553100585938,59.96066665649414
2020-02-21,73.90508270263672,60.06666564941406
2020-02-24,70.736572265625,55.58599853515625
2020-02-25,69.06562805175781,53.32733154296875
2020-02-26,69.27237701416016,51.91999816894531
2020-02-27,65.51001739501953,45.266666412353516
2020-02-28,66.72062683105469,44.53266525268555
2020-03-02,69.06562805175781,49.574668884277344
2020-03-03,66.64441680908203,49.70066833496094
2020-03-04,68.83049011230469,49.96666717529297
2020-03-05,65.50055694580078,48.30266571044922
2020-03-06,64.55299377441406,46.89866638183594
2020-03-09,60.56992721557617,40.53333282470703
2020-03-10,63.528202056884766,43.02199935913086
2020-03-11,60.32630920410156,42.28200149536133
2020-03-12,55.37675476074219,37.369998931884766
2020-03-13,60.494205474853516,36.44133377075195
2020-03-16,53.45621871948242,29.67133331298828
2020-03-17,55.701080322265625,28.68000030517578
2020-03-18,54.362430572509766,24.08133316040039
2020-03-19,55.38273620605469,28.50933265686035
2020-03-20,53.21758270263672,28.50200080871582
2020-03-23,52.5161247253418,28.952667236328125
2020-03-24,56.296424865722656,33.66666793823242
2020-03-25,54.882049560546875,35.95000076293945
2020-03-26,57.935977935791016,35.21066665649414
2020-03-27,55.3124885559082,34.29066848754883
2020-03-30,57.10847473144531,33.47533416748047
2020-03-31,57.88765335083008,34.93333435058594
2020-04-01,54.90596008300781,32.104000091552734
2020-04-02,55.64976501464844,30.29800033569336
2020-04-03,54.43765640258789,32.000667572021484
2020-04-06,58.94581985473633,34.41600036621094
2020-04-07,58.9144287109375,36.36333465576172
2020-04-08,60.132015228271484,36.589332580566406
2020-04-09,60.110591888427734,38.20000076293945
2020-04-13,60.301902770996094,43.39666748046875
2020-04-14,63.03300476074219,47.32600021362305
2020-04-15,62.637935638427734,48.65533447265625
2020-04-16,62.6444091796875,49.680667877197266
2020-04-17,63.71901321411133,50.259334564208984
2020-04-20,62.829734802246094,49.75733184814453
2020-04-21,60.38908386230469,45.781333923339844
2020-04-22,62.693233489990234,48.807334899902344
2020-04-23,63.32892608642578,47.04199981689453
2020-04-24,63.59944534301758,48.34333419799805
2020-04-27,63.313480377197266,53.25
2020-04-28,61.40689468383789,51.27466583251953
2020-04-29,66.86660766601562,53.367332458496094
2020-04-30,67.09178924560547,52.12533187866211
2020-05-01,65.62808990478516,46.75466537475586
2020-05-04,65.90608215332031,50.74599838256836
2020-05-05,67.20735931396484,51.2140007019043
2020-05-06,67.02851867675781,52.172000885009766
2020-05-07,68.21670532226562,52.00266647338867
2020-05-08,68.96698760986328,54.62799835205078
2020-05-11,69.92601013183594,54.08599853515625
2020-05-12,68.51065063476562,53.96066665649414
2020-05-13,67.17298126220703,52.73066711425781
2020-05-14,67.59794616699219,53.55533218383789
2020-05-15,68.405029296875,53.27799987792969
2020-05-18,69.00884246826172,54.242000579833984
2020-05-19,68.47178649902344,53.867332458496094
2020-05-20,70.20350646972656,54.37066650390625
2020-05-21,70.08344268798828,55.17333221435547
2020-05-22,70.40676879882812,54.45866775512695
2020-05-26,70.81179809570312,54.591331481933594
2020-05-27,70.75749969482422,54.68199920654297
2020-05-28,70.65586853027344,53.72066879272461
2020-05-29,71.41710662841797,55.66666793823242
2020-06-01,71.48436737060547,59.87333297729492
2020-06-02,71.85501861572266,58.770668029785156
2020-06-03,71.70257568359375,58.86399841308594
2020-06-04,70.4595718383789,57.62533187866211
2020-06-05,71.74092864990234,59.04399871826172
2020-06-08,72.14048767089844,63.327999114990234
2020-06-09,72.34175109863281,62.711334228515625
2020-06-10,72.97047424316406,68.336669921875
2020-06-11,69.8418197631836,64.85600280761719
2020-06-12,70.39083099365234,62.35200119018555
2020-06-15,70.78041076660156,66.05999755859375
2020-06-16,72.06227111816406,65.47533416748047
2020-06-17,72.36466979980469,66.11933135986328
2020-06-18,71.4469985961914,66.9306640625
2020-06-19,70.9747085571289,66.72666931152344
2020-06-22,72.27101135253906,66.28800201416016
2020-06-23,72.93460083007812,66.78533172607422
2020-06-24,71.37625885009766,64.0566635131836
2020-06-25,71.79473876953125,65.73200225830078
2020-06-26,67.88092803955078,63.982666015625
2020-06-29,69.60617065429688,67.29000091552734
2020-06-30,70.64640045166016,71.98733520507812
2020-07-01,71.8395767211914,74.64199829101562
2020-07-02,73.23103332519531,80.57733154296875
2020-07-06,74.71166229248047,91.43866729736328
